-0.11823,1.04816,-1.13696,0.81379,0.02890,0.43515
-0.14884,1.14762,-1.11681,0.69027,0.13674,0.24013
-0.22021,1.62112,-1.46661,0.73243,0.03207,-0.58832
-0.10548,1.77346,-1.42356,0.45701,0.14460,-0.23951
-0.34320,1.77346,-1.32573,0.46322,0.29001,-0.80470
0.11040,1.77340,-1.31764,0.45939,-0.10069,-0.26267
-0.05009,1.52594,-1.24250,0.47536,-0.10120,-0.53813
-0.19552,1.57942,-1.36975,0.64684,0.14407,-0.72970
0.29186,1.42791,-1.36550,0.82279,-0.24260,-0.79618
-0.29201,1.62512,-1.55196,0.82657,0.19699,-0.51662
-0.43962,1.62514,-1.50459,0.73382,0.33762,-1.09027
-0.16186,1.50272,-1.56395,0.92809,0.13952,0.21770
-0.42620,1.82257,-2.06598,1.29282,0.32316,-0.10698
0.29104,1.82103,-2.03933,1.28496,-0.28970,-0.43747
0.16355,1.92744,-1.95077,1.07773,-0.28889,-0.15538
0.12385,2.10315,-1.95524,0.82720,-0.28612,0.18592
0.12382,2.13653,-1.89980,0.69878,-0.28612,-0.33924
0.11825,2.06533,-1.84166,0.69869,-0.28612,-0.35703
0.33080,2.11131,-1.79703,0.69839,-0.48282,0.04759
-0.19780,2.03853,-1.79584,0.77048,0.14895,-0.49882
